References,Description,Manufacture,Mfg Part Number,Supplier,Supplier Part Number,Value,Footprint,Quantity
"C4, C5, C7",CAP CER 0.1UF 25V Y5V 0603,KEMET,C0603C104Z3VACTU,Digi-Key,399-1100-1-ND,100nF,C_0603_1608Metric,3
"C1, C2, C3",CAP CER 1UF 6.3V X5R 0603,Samsung Electro-Mechanics,CL10A105KQ8NNNC,Digi-Key,1276-1036-1-ND,1uF,C_0603_1608Metric,3
C6,CAP CER 4.7UF 6.3V X5R 0603,Samsung Electro-Mechanics,CL10A475KQ8NNNC,Digi-Key,1276-1045-1-ND,4.7uF,C_0603_1608Metric,1
"R1, R2",RES 27 OHM 5% 1/10W 0603,Stackpole Electronics Inc,RMCF0603JT27R0,Digi-Key,RMCF0603JT27R0CT-ND,27R,R_0603_1608Metric,2
"R3, R4, R5, R6, R7, R8, R9",RES SMD 1K OHM 5% 1/10W 0603,Yageo,RC0603JR-071KL,Digi-Key,311-1.0KGRCT-ND,1k,R_0603_1608Metric,7
"D4, D5, D6, D7, D8",Red 615~630nm 0805 Light Emitting Diodes (LED) RoHS,Foshan NationStar Optoelectronics,NCD0805R1,LCSC,C84256,"5V, 3V3, RXLED, TXLED, READ",LED_0805_2012Metric,5
D3,SCHOTTKY 60V SOD-123FL,SMC Diode Solutions,DSS16UTR,Digi-Key,1655-1929-1-ND,DSS16UTR,D_SOD-123FL,1
D1,TVS DIODE 5.5V 14V 2X1SON,Texas Instruments,TPD1E10B06QDPYRQ1,Digi-Key,296-45327-1-ND,TPD1E10B06,TI_PX1SON_DPY,1
D2,TVS DIODE 8.4VC 2.5A IPP 3X2SON,Texas Instruments,ESD122DMXR,Digi-Key,296-48543-1-ND,ESD122DMXR,TI_DMX_X2SON,1
U4,IC MCU 16BIT 2KB FRAM 16TSSOP,Texas Instruments,MSP430FR2110IPW16R,Digi-Key,296-47343-1-ND,MSP430FR2110,TSSOP-16_4.4x5mm_P0.65mm,1
U3,IC REG LINEAR 3.3V 300MA SOT23-5,Microchip Technology,MIC5504-3.3YM5-TR,Digi-Key,576-4764-1-ND,MIC5504-3.3YM5,SOT-23-5,1
U5,IC USB SERIAL BASIC UART 16SSOP,"FTDI, Future Technology Devices International Ltd",FT230XS-R,Digi-Key,768-1135-1-ND,FT230XS,SSOP-16_3.9x4.9mm_P0.635mm,1
"U1, U2",OPTOISO 2.5KV 4CH TRANS 16-SOP,Toshiba Semiconductor and Storage,"TLP281-4(GB-TP,J,F",,,TLP281-4,SOIC-16_4.55x10.3mm_P1.27mm,2
TH1,PTC RESET FUSE 8V 500MA 1206,Bel Fuse Inc.,0ZCJ0050FF2G,Digi-Key,507-1802-1-ND,0ZCJ0050FF2G,Fuse_1206_3216Metric,1
"RN1, RN2",RES ARRAY 4 RES 10K OHM 2012,Yageo,YC324-JK-0710KL,Digi-Key,YC324J-10KCT-ND,10k,YC324-JK-0710KL,2
"H5, H6",TERM SCREW M3 4 PIN PCB RA,Keystone Electronics,7761,Digi-Key,36-7761-ND,M3_RA,Keystone_Screw-Terminal_7761_RightAngle,2
J1,CONN RCPT TYPEB 4POS R/A,Pulse Electronics Network,E8144-B02022-L,Digi-Key,553-2272-ND,USB_B,USB_B_OST_USB-B1HSxx_Horizontal,1
J2,CONN HEADER R/A 14POS 2.54MM,On Shore Technology Inc.,302-R141,Digi-Key,ED10534-ND,SIGNAL INPUT,PinHeader_2x07_P2.54mm_Horizontal,1
,DIP CABLE - HDP14S/AE14G/X ,Assmann WSW Components,H2PXS-1418G,Digi-Key,H2PXS-1418G-ND,,,1
,IDCconnector 14,Ckmtw(Shenzhen Cankemeng),C146586,LCSC,C146586,,,1
